岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
人工智能英语课程规划师,5千-1万,天津·河北·光复道,经验不限,本科,沈阳海贝未来教育科技有限公司,"英语, 教育机构, 教育工作经验, 教师培训经验, 小学教育, , , ",民营,20-99人,培训/辅导服务
语音厅主播、游戏玩、旅游顾问销售,5千-1万,天津·宝坻·海滨,1-3年,学历不限,天津市宝坻区百平信息咨询服务部(个体工商户),"说话声音好听，会聊天, 才艺类, 情感类",游戏类,20人以下,人工智能
网络销售,5千-1万,天津·大邱庄,经验不限,高中,天津市铭发钢铁销售有限公司,"人工智能, 互联网行业, 物联网, 机械/重工, 医疗设备/器械, , , , 民营, 20人以下",钢铁/有色金属冶炼及加工,人工智能,钢铁/有色金属冶炼及加工
阿里投资/月入1-3W/可小白/当月发薪-AI人工智能软件销售,1.1万-2.2万,天津·西青·西营门,经验不限,大专,探迹科技,"企业客户, KA大客户, 面销/陌拜, 电话销售, 网络销售",民营,1000-9999人,互联网
人工智能Ai应用工程师,1.5万-3万·14薪,天津·西青·精武镇,3-5年,本科,麦克微尔(天津)科技有限公司,,民营,100-299人,仪器仪表制造
情感主播,8千-1万,天津·西青·西营门,经验不限,学历不限,天津雨田木子网络科技有限公司,"倾听压力, 善于沟通, 情商高",情感主播,20人以下,人工智能
专柜服装销售+就近分配+五险一金+综合8K+,1万-2万·13薪,天津·武清·黄庄,经验不限,学历不限,内蒙古杰森人力资源有限公司,"女装店, 男装店, 内衣店, 奢侈品牌, 轻奢品牌, 潮牌, , , , , ",民营,100-299人,人力资源服务
人工智能业务总监,1万-2万,天津·西青·大寺,5-10年,本科,广电计量检测(天津)有限公司,市场推广,国企,1000-9999人,检测/认证
人工智能机械学习算法工程师,9千-1.8万,天津·滨海新区·泰达,经验不限,本科,天津健君科技有限公司,"深度学习算法, 推荐算法, TensorFlow, PyTorch, MapReduce",民营,20-99人,专业技术服务
销售业务员,5千-1万,天津·大邱庄,经验不限,高中,天津市铭发钢铁销售有限公司,"人工智能, 机械/重工, 农/林/牧/渔, 企业客户（2B）, 电话销售, , , , 民营, 20人以下",钢铁/有色金属冶炼及加工,人工智能,钢铁/有色金属冶炼及加工
电话销售 团体标准招商 双休 不加班 （武清）,7千-1万,天津·武清·杨村,1年以下,学历不限,悦野文化传播(北京)有限公司,,会议/展览,人工智能,会议/展览
人工职能教师,6千-8千,天津·河西·马场,无经验,本科,天津市经职人力资源顾问有限公司,"课程策划, 课程教授, 助理教师, 视觉图像算法, 自然语音处理, , , , , , ",国企,20-99人,人力资源服务
人工智能工程师,8千-1.2万·16薪,天津·滨海新区·泰达,经验不限,硕士,天津市天河计算机技术有限公司,,国企,20-99人,计算机软件
专职司机,5千-8千,天津·中北,5-10年,大专,天津市瀚通路桥工程有限公司,"商业保险, 环境好",民营,100-299人,工程施工
接听客服,8千-1万,天津·西青·中北,经验不限,学历不限,天津雨田木子网络科技有限公司,网络客服,接听客服,20人以下,人工智能
