职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
销售数据分析,1.2万-1.8万,上海,3-5年,本科,"['IT/互联网', 'Java', 'Python', 'SPSS', 'SAS', 'Stata', '批发/零售', '餐饮业']",云竞(上海)电子科技有限公司,民营 ,500-999人 ,上海
金融数据分析师,1.6万-1.8万,上海-黄浦,3-5年,本科,"['银行数据分析', '投融资数据分析', 'SQL', 'Python', '决策树']",北京戌华防务技术有限公司,民营 ,100-299人 ,上海
酒店财务数据分析,1.2万-1.5万,上海,3-5年,本科,['Power BI'],上海锦江国际酒店股份有限公司第一分公司,国企 ,100-299人 ,上海
数据分析经理,1.5万-1.8万,上海-徐汇,5-10年,本科,"['SQL', 'R', '数学/统计学专业', '线下零售', '餐饮业']",达美乐比萨,外商独资 ,500-999人 ,上海
IT校招-数据分析师(J13446),1万-2万,上海-青浦,不限,本科,"['Python', 'Tableau', '运营数据分析']",中通快递,股份制企业 ,10000人以上 ,上海
数据分析专员,7千-1万,上海-金山,1-3年,本科,[],立邦投资有限公司,外商独资 ,10000人以上 ,上海
供应链数据分析专员,9千-1.2万,上海,3-5年,本科,"['数据分析', '供应链']",爱谱华顿,合资 ,1000-9999人 ,上海
数据分析师,7千-1万,上海-杨浦,1-3年,大专,"['数据分析', '商业分析', '数据采集', '数据清洗']",科瓴医疗,民营 ,20-99人 ,上海
数据分析专员,6千-8千,上海-金山,1-3年,大专,['制造业'],立邦投资有限公司,外商独资 ,10000人以上 ,上海
大数据分析专员,8千-1.5万,上海-浦东,3-5年,大专,['数据运营'],爱谱华顿,合资 ,1000-9999人 ,上海
数据分析师,8千-1万,上海-浦东,1-3年,大专,"['数据分析', '大数据分析']",上海菁淇信息科技有限公司,合资 ,100-299人 ,上海
数据分析师,7千-9千,上海-浦东,不限,大专,"['机器学习', '回归算法', '分类算法', '决策树', '神经网络', '关联分析', '协同过滤']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,上海
数据分析（销售支持）,6千-1万,上海,1年以下,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 ,上海
销售数据分析,8千-1万,上海-徐汇,1-3年,本科,['excel'],安易行(常州)新能源科技有限公司,民营 ,500-999人 ,上海
数据分析助理（有上进心）,8千-9千,上海-浦东,1-3年,本科,"['数据采集', '数据平台']",湖南云郡网络科技有限公司,外商独资 ,100-299人 ,上海
数据分析专员,8千-1.2万,上海,1-3年,本科,['数据分析'],南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
数据分析工程师,7千-9千,上海-长宁,不限,大专,"['做五休二', '高温费', '年终奖', '一对一带教']",上海境安环境检测技术有限公司,民营 ,20-99人 ,上海
初级数据产品经理/分析师,8千-1.3万,上海-黄浦,不限,大专,"['SQL', 'excel']",北京笃信科技有限公司,其它 ,20-99人 ,上海
综合月薪9000起 数据分析助理,1万-2万,上海-徐汇,不限,本科,['没有PUA，下班就走'],安徽泰沃兆斯信息科技有限公司,股份制企业 ,100-299人 ,上海
数据分析专员,9千-1.5万,上海,1-3年,本科,"['数据分析', '数据挖掘', 'SQL']",南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海
商业数据分析,9千-1.5万,上海-普陀,不限,硕士,"['SPSS', '管理咨询工作经验', 'Power-BI', 'SQL', 'Python']",上海安点企业管理咨询有限公司,民营 ,20-99人 ,上海
数据分析助理(接受无经验),1.2万-1.5万,上海-奉贤,1-3年,本科,"['行业分析', '运营数据分析', '商业数据分析', '销售数据分析']",上海峪诚东信息科技有限公司,民营 ,300-499人 ,上海
数据分析（储备干部）,1.1万-2.1万,上海-奉贤,无经验,硕士,['质量管理类数据分析'],海亮集团,民营 ,10000人以上 ,上海
数据分析运营,1万-1.5万,上海-浦东,不限,本科,"['SQL', 'R']",思特奇,上市公司 ,1000-9999人 ,上海
数据分析专员,8千-1.5万,上海-静安,1-3年,本科,"['Power BI', '财务数据分析']",多特瑞(上海)商贸有限公司,外商独资 ,100-299人 ,上海
数据分析助理（双休）,1万-1.6万,上海-浦东,不限,本科,"['数据平台', '数据采集']",杭州烛名科技有限公司,民营 ,100-299人 ,上海
数据分析专员,150-200/天,上海-闵行,无经验,本科,[],旺旺集团,上市公司 ,10000人以上 ,上海
数据分析,6千-8千,上海,不限,本科,['无'],上海市住房和城乡建设管理委员会人才开发评价中心,事业单位 ,20-99人 ,上海
数据分析师,8千-1.5万,上海-杨浦,3-5年,本科,"['分类算法', '方差分析', '多元统计分析', '商业数据分析', '运营数据分析', '销售数据分析', '财务数据分析']",上汽大通房车科技有限公司,国企 ,500-999人 ,上海
数据分析师,8千-1.5万,上海-徐汇,3-5年,本科,"['运营数据分析', '销售数据分析']",科华生物,上市公司 ,1000-9999人 ,上海
数据分析岗,6千-8千,上海-浦东,不限,大专,"['数据分析', 'SPSS', '数据挖掘', 'Python', '机器学习', '数据建模', '数据治理', '行业分析']",上海数治数据科技有限公司,民营 ,20-99人 ,上海
数据分析助理,5千-9千,上海-浦东,不限,大专,"['深度学习', '决策树', '神经网络', '行业分析', '运营数据分析', '商业数据分析']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,上海
管理培训生（数据分析）,5千-7千,上海-闵行,不限,本科,['销售数据分析'],太平洋保险在线服务科技有限公司上海分公司,国企 ,10000人以上 ,上海
数据分析师,8千-1.6万,上海-浦东,1-3年,本科,"['数据分析', '机器学习', '决策树', 'SQL', 'SAS', 'Python']",中联惠捷信息技术有限公司,民营 ,500-999人 ,上海
数据分析主管,1.2万-1.8万,上海-徐汇,不限,本科,"['Java', 'Python', 'SQL', 'R语言', 'SAS']",上海海天医药科技开发有限公司,上市公司 ,1000-9999人 ,上海
数据分析与挖掘,8千-1万,上海-静安,1-3年,本科,"['Python', 'MySQL']",上海克而瑞信息技术有限公司,外商独资 ,1000-9999人 ,上海
市场数据分析,5千-1万,上海-普陀,不限,大专,"['市场研究', '用户调研', '行业研究', '企业调研', '用户分析', '市场信息收集', '全职']",娇盈国际贸易(上海)有限公司,民营 ,20人以下 ,上海
数据分析员8K底薪保障+入职带薪提供住宿,1万-1.4万,上海-浦东,不限,大专,"['运营数据分析', '销售数据分析', '行业分析', '商业数据分析', '多元统计分析', '运营专员', '风控数据分析', '舆情分析']",上海太屋网络科技有限公司,民营 ,1000-9999人 ,上海
数据分析师,9千-1.4万,上海-浦东,1-3年,大专,"['Java', 'SPSS', 'Power BI', '深度学习']",北京新致君阳信息技术有限公司,合资 ,1000-9999人 ,上海
初级数据分析师(J10989),8千-1万,上海-普陀,1-3年,本科,"['Python', 'SQL', 'SPSS', 'SAS', 'Power BI', 'Tableau', '商业数据分析', '运营数据分析']",特朗思大宇宙,外商独资 ,1000-9999人 ,上海
数据分析经理,6千-1万,上海-徐汇,1-3年,大专,['销售数据分析'],百玺(上海)企业管理有限公司,民营 ,100-299人 ,上海
市场数据通报/分析,6千-1万,上海,1-3年,本科,"['行业分析', '数据建模', '商业分析', '数据采集']",旺旺集团,上市公司 ,10000人以上 ,上海
BI/数据分析顾问(J13215),8千-1.3万,上海-青浦,1-3年,本科,"['数据仓库', 'Power BI', 'FineBI', 'Kettle', 'Oracle', 'MySQL']",汉得信息,上市公司 ,10000人以上 ,上海
大数据分析,1万-1.2万,上海-徐汇,不限,硕士,"['运营数据分析', '销售数据分析', '商业数据分析', '行业分析']",上海回力鞋业有限公司,国企 ,20-99人 ,上海
